id,sortIndex,productImageId,displayName,description,material,color,printType,frameSku,dimension1,dimension2,cost,basePrice,priceModifier
1,1,4,Black Wood,Black Wood Frame (12” x 12”),wood,black,paper,wfbl1212,12,12,63.5,65,1
2,1,4,Black Wood,Black Wood Frame (12” x 18”),wood,black,paper,wfbl1218,12,18,61.75,65,1
3,1,4,Black Wood,Black Wood Frame (12” x 24”),wood,black,paper,wfbl1224,12,24,66.5,70,1
4,1,4,Black Wood,Black Wood Frame (12” x 36”),wood,black,paper,wfbl1236,12,36,81.75,85,1
5,1,4,Black Wood,Black Wood Frame (16” x 16”),wood,black,paper,wfbl1616,16,16,54.75,60,1
6,1,4,Black Wood,Black Wood Frame (16” x 20”),wood,black,paper,wfbl1620,16,20,60.75,65,1
7,1,4,Black Wood,Black Wood Frame (16” x 24”),wood,black,paper,wfbl1624,16,24,69.5,75,1
8,1,4,Black Wood,Black Wood Frame (20” x 20”),wood,black,paper,wfbl2020,20,20,68.75,70,1
9,1,4,Black Wood,Black Wood Frame (20” x 24”),wood,black,paper,wfbl2024,20,24,75.5,80,1
10,1,4,Black Wood,Black Wood Frame (20” x 30”),wood,black,paper,wfbl2030,20,30,81.75,85,1
11,1,4,Black Wood,Black Wood Frame (24” x 24”),wood,black,paper,wfbl2424,24,24,78.75,80,1
12,1,4,Black Wood,Black Wood Frame (24” x 30”),wood,black,paper,wfbl2430,24,30,79.75,85,1
13,1,4,Black Wood,Black Wood Frame (24” x 36”),wood,black,paper,wfbl2436,24,36,87.75,95,1
14,2,5,Mocha Wood,Mocha Wood Frame (12” x 12”),wood,mocha,paper,wfmo1212,12,12,63.5,65,1
15,2,5,Mocha Wood,Mocha Wood Frame (12” x 18”),wood,mocha,paper,wfmo1218,12,18,61.75,65,1
16,2,5,Mocha Wood,Mocha Wood Frame (12” x 24”),wood,mocha,paper,wfmo1224,12,24,66.5,70,1
17,2,5,Mocha Wood,Mocha Wood Frame (12” x 36”),wood,mocha,paper,wfmo1236,12,36,81.75,85,1
18,2,5,Mocha Wood,Mocha Wood Frame (16” x 16”),wood,mocha,paper,wfmo1616,16,16,54.75,60,1
19,2,5,Mocha Wood,Mocha Wood Frame (16” x 20”),wood,mocha,paper,wfmo1620,16,20,60.75,65,1
20,2,5,Mocha Wood,Mocha Wood Frame (16” x 24”),wood,mocha,paper,wfmo1624,16,24,69.5,75,1
21,2,5,Mocha Wood,Mocha Wood Frame (20” x 20”),wood,mocha,paper,wfmo2020,20,20,68.75,70,1
22,2,5,Mocha Wood,Mocha Wood Frame (20” x 24”),wood,mocha,paper,wfmo2024,20,24,75.5,80,1
23,2,5,Mocha Wood,Mocha Wood Frame (20” x 30”),wood,mocha,paper,wfmo2030,20,30,81.75,85,1
24,2,5,Mocha Wood,Mocha Wood Frame (24” x 24”),wood,mocha,paper,wfmo2424,24,24,78.75,80,1
25,2,5,Mocha Wood,Mocha Wood Frame (24” x 30”),wood,mocha,paper,wfmo2430,24,30,79.75,85,1
26,2,5,Mocha Wood,Mocha Wood Frame (24” x 36”),wood,mocha,paper,wfmo2436,24,36,87.75,95,1
27,3,6,Cherry Wood,Cherry Wood Frame (12” x 12”),wood,cherry,paper,wfch1212,12,12,63.5,65,1
28,3,6,Cherry Wood,Cherry Wood Frame (12” x 18”),wood,cherry,paper,wfch1218,12,18,61.75,65,1
29,3,6,Cherry Wood,Cherry Wood Frame (12” x 24”),wood,cherry,paper,wfch1224,12,24,66.5,70,1
30,3,6,Cherry Wood,Cherry Wood Frame (12” x 36”),wood,cherry,paper,wfch1236,12,36,81.75,85,1
31,3,6,Cherry Wood,Cherry Wood Frame (16” x 16”),wood,cherry,paper,wfch1616,16,16,54.75,60,1
32,3,6,Cherry Wood,Cherry Wood Frame (16” x 20”),wood,cherry,paper,wfch1620,16,20,60.75,65,1
33,3,6,Cherry Wood,Cherry Wood Frame (16” x 24”),wood,cherry,paper,wfch1624,16,24,69.5,75,1
