id,sortIndex,productImageId,displayName,description,color,printType,matSku,dimension1,dimension2,cost,basePrice,priceModifier
1,1,1,Black,Black mat (12” x 12”) with an 8” x 8” opening and a 2” border on all sides,black,paper,mbl1212,12,12,15.05,20,1
2,1,1,Black,Black mat (12” x 18”) with an 8” x 14” opening and a 2” border on all sides,black,paper,mbl1218,12,18,19.01,25,1
3,1,1,Black,Black mat (12” x 24”) with an 8” x 20” opening and a 2” border on all sides,black,paper,mbl1224,12,24,24.02,30,1
4,1,1,Black,Black mat (12” x 36”) with an 8” x 32” opening and a 2” border on all sides,black,paper,mbl1236,12,36,20.01,30,1
5,1,1,Black,Black mat (16” x 16”) with an 12” x 12” opening and a 2” border on all sides,black,paper,mbl1616,16,16,12,15,1
6,1,1,Black,Black mat (16” x 20”) with an 12” x 16” opening and a 2” border on all sides,black,paper,mbl1620,16,20,12,15,1
7,1,1,Black,Black mat (16” x 24”) with an 12” x 20” opening and a 2” border on all sides,black,paper,mbl1624,16,24,12,15,1
8,1,1,Black,Black mat (20” x 20”) with an 16” x 16” opening and a 2” border on all sides,black,paper,mbl2020,20,20,16,20,1
9,1,1,Black,Black mat (20” x 24”) with an 16” x 20” opening and a 2” border on all sides,black,paper,mbl2024,20,24,19,25,1
10,1,1,Black,Black mat (20” x 30”) with an 16” x 26” opening and a 2” border on all sides,black,paper,mbl2030,20,30,16,25,1
11,1,1,Black,Black mat (24” x 24”) with an 20” x 20” opening and a 2” border on all sides,black,paper,mbl2424,24,24,25.05,30,1
12,1,1,Black,Black mat (24” x 30”) with an 20” x 26” opening and a 2” border on all sides,black,paper,mbl2430,24,30,23,30,1
13,1,1,Black,Black mat (24” x 36”) with an 20” x 32” opening and a 2” border on all sides,black,paper,mbl2436,24,36,27,35,1
14,2,2,Grey,Grey mat (12” x 12”) with an 8” x 8” opening and a 2” border on all sides,grey,paper,mgr1212,12,12,15.05,20,1
15,2,2,Grey,Grey mat (12” x 18”) with an 8” x 14” opening and a 2” border on all sides,grey,paper,mgr1218,12,18,19.01,25,1
16,2,2,Grey,Grey mat (12” x 24”) with an 8” x 20” opening and a 2” border on all sides,grey,paper,mgr1224,12,24,24.02,30,1
17,2,2,Grey,Grey mat (12” x 36”) with an 8” x 32” opening and a 2” border on all sides,grey,paper,mgr1236,12,36,20.01,30,1
18,2,2,Grey,Grey mat (16” x 16”) with an 12” x 12” opening and a 2” border on all sides,grey,paper,mgr1616,16,16,12,15,1
19,2,2,Grey,Grey mat (16” x 20”) with an 12” x 16” opening and a 2” border on all sides,grey,paper,mgr1620,16,20,12,15,1
20,2,2,Grey,Grey mat (16” x 24”) with an 12” x 20” opening and a 2” border on all sides,grey,paper,mgr1624,16,24,12,15,1
21,2,2,Grey,Grey mat (20” x 20”) with an 16” x 16” opening and a 2” border on all sides,grey,paper,mgr2020,20,20,16,20,1
22,2,2,Grey,Grey mat (20” x 24”) with an 16” x 20” opening and a 2” border on all sides,grey,paper,mgr2024,20,24,19,25,1
23,2,2,Grey,Grey mat (20” x 30”) with an 16” x 26” opening and a 2” border on all sides,grey,paper,mgr2030,20,30,16,25,1
24,2,2,Grey,Grey mat (24” x 24”) with an 20” x 20” opening and a 2” border on all sides,grey,paper,mgr2424,24,24,25.05,30,1
25,2,2,Grey,Grey mat (24” x 30”) with an 20” x 26” opening and a 2” border on all sides,grey,paper,mgr2430,24,30,23,30,1
26,2,2,Grey,Grey mat (24” x 36”) with an 20” x 32” opening and a 2” border on all sides,grey,paper,mgr2436,24,36,27,35,1
27,3,3,White,White mat (12” x 12”) with an 8” x 8” opening and a 2” border on all sides,white,paper,mwh1212,12,12,15.05,20,1
28,3,3,White,White mat (12” x 18”) with an 8” x 14” opening and a 2” border on all sides,white,paper,mwh1218,12,18,19.01,25,1
29,3,3,White,White mat (12” x 24”) with an 8” x 20” opening and a 2” border on all sides,white,paper,mwh1224,12,24,24.02,30,1
30,3,3,White,White mat (12” x 36”) with an 8” x 32” opening and a 2” border on all sides,white,paper,mwh1236,12,36,20.01,30,1
31,3,3,White,White mat (16” x 16”) with an 12” x 12” opening and a 2” border on all sides,white,paper,mwh1616,16,16,12,15,1
32,3,3,White,White mat (16” x 20”) with an 12” x 16” opening and a 2” border on all sides,white,paper,mwh1620,16,20,12,15,1
33,3,3,White,White mat (16” x 24”) with an 12” x 20” opening and a 2” border on all sides,white,paper,mwh1624,16,24,12,15,1
34,3,3,White,White mat (20” x 20”) with an 16” x 16” opening and a 2” border on all sides,white,paper,mwh2020,20,20,16,20,1
35,3,3,White,White mat (20” x 24”) with an 16” x 20” opening and a 2” border on all sides,white,paper,mwh2024,20,24,19,25,1
36,3,3,White,White mat (20” x 30”) with an 16” x 26” opening and a 2” border on all sides,white,paper,mwh2030,20,30,16,25,1
37,3,3,White,White mat (24” x 24”) with an 20” x 20” opening and a 2” border on all sides,white,paper,mwh2424,24,24,25.05,30,1
38,3,3,White,White mat (24” x 30”) with an 20” x 26” opening and a 2” border on all sides,white,paper,mwh2430,24,30,23,30,1
39,3,3,White,White mat (24” x 36”) with an 20” x 32” opening and a 2” border on all sides,white,paper,mwh2436,24,36,27,35,1
