id,imageName,fileExtension,imageUrl,altText,size,width,height,mats,frames
1,mat_black_skxyh9,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619568533/product_images/mats/mat_black_skxyh9.jpg,black mat,sm,842,562,,
2,mat_grey_qnlcrr,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619568533/product_images/mats/mat_grey_qnlcrr.jpg,grey mat,sm,842,562,,
3,mat_white_g09qdx,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619568533/product_images/mats/mat_white_g09qdx.jpg,white mat,sm,842,562,,
4,frame_black_wood_v77hoh,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569194/product_images/frames/frame_black_wood_v77hoh.jpg,black wood frame,sm,150,135,,
5,frame_mocha_wood_m2hmjd,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569189/product_images/frames/frame_mocha_wood_m2hmjd.jpg,mocha wood frame,sm,150,135,,
6,frame_cherry_wood_biiuye,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569189/product_images/frames/frame_cherry_wood_biiuye.jpg,cherry wood frame,sm,150,135,,
7,frame_natural_basswood_ee3uvc,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569181/product_images/frames/frame_natural_basswood_ee3uvc.jpg,natural wood frame,sm,150,135,,
8,frame_white_wood_gc6mn7,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569181/product_images/frames/frame_white_wood_gc6mn7.jpg,white wood frame,sm,150,135,,
9,metal_black_iilbsd,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569216/product_images/frames/metal_black_iilbsd.jpg,black metal frame,sm,150,135,,
10,metal_dark_pewter_mykd1z,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569216/product_images/frames/metal_dark_pewter_mykd1z.jpg,dark pewter metal frame,sm,150,135,,
11,metal_light_pewter_qb1qip,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569216/product_images/frames/metal_light_pewter_qb1qip.jpg,light pewter metal frame,sm,150,135,,
12,metal_silver_cc7weo,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569216/product_images/frames/metal_silver_cc7weo.jpg,silver metal frame,sm,150,135,,
13,slim_black_metal_float_frame_g80apd,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569181/product_images/frames/slim_black_metal_float_frame_g80apd.jpg,black slim metal frame,sm,286,223,,
14,slim_light_pewter_float_frame_xrheut,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569181/product_images/frames/slim_light_pewter_float_frame_xrheut.jpg,light pewter slim metal frame,sm,286,223,,
15,slim_black_wood_float_frame_a2plf9,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569181/product_images/frames/slim_black_wood_float_frame_a2plf9.jpg,black slim wood frame,sm,286,223,,
16,slim_white_wood_float_frame_stejcd,jpg,https://res.cloudinary.com/gibbs-photography/image/upload/v1619569181/product_images/frames/slim_white_wood_float_frame_stejcd.jpg,white slim wood frame,sm,286,223,,
